Date,Close,High,Low,Open,Volume,Daily Return,SMA_7,SMA_21,Volatility
Ticker,,^NSEI,^NSEI,^NSEI,^NSEI,,,,
Date,,^NSEI,^NSEI,^NSEI,^NSEI,,,,
2025-07-15,25195.80078125,25245.19921875,25088.44921875,25089.5,241300,,,,
2025-07-16,25212.05078125,25255.30078125,25121.05078125,25196.599609375,228800,0.0006449487413033861,,,
2025-07-17,25111.44921875,25238.349609375,25101.0,25230.75,243400,-0.003990217351728331,,,
2025-07-18,24968.400390625,25144.599609375,24918.650390625,25108.55078125,317000,-0.0056965580472427835,,,
2025-07-21,25090.69921875,25111.400390625,24882.30078125,24999.0,305200,0.004898144302865282,,,
2025-07-22,25060.900390625,25182.0,25035.55078125,25166.650390625,483700,-0.0011876443882732346,,,
2025-07-23,25219.900390625,25233.5,25085.5,25139.349609375,271500,0.006344544590244583,25122.743024553572,,92.69428295993522
2025-07-24,25062.099609375,25246.25,25018.69921875,25243.30078125,338700,-0.006256994627491075,25103.64285714286,,88.82553479145042
2025-07-25,24837.0,25010.349609375,24806.349609375,25010.349609375,278100,-0.008981674037030651,25050.06417410714,,120.13274748593349
2025-07-28,24680.900390625,24889.19921875,24646.599609375,24782.44921875,262100,-0.006284962329387578,24988.557198660714,,179.1755569454079
